Transaction_ID,Date,Drug_Name,Batch_Number,Qty_Sold,MRP_Unit_Price,Total_Amount
TXN-10276,2023-01-02,pan 40,PAN-2301-29,2,155.0,310.0
TXN-10275,2023-01-02,glycomet 500,GLY-2301-13,4,22.5,90.0
TXN-10285,2023-01-02,telma 40,TEL-2301-73,4,220.0,880.0
TXN-10284,2023-01-02,glycomet 500,GLY-2301-55,1,22.5,22.5
TXN-10282,2023-01-02,pan 40,PAN-2301-58,4,155.0,620.0
TXN-10281,2023-01-02,glycomet 500,GLY-2301-17,1,22.5,22.5
TXN-10283,2023-01-02,telma 40,TEL-2301-80,2,220.0,440.0
TXN-10279,2023-01-02,pan 40,PAN-2301-29,1,155.0,155.0
TXN-10278,2023-01-02,glycomet 500,GLY-2301-55,5,22.5,112.5
TXN-10277,2023-01-02,pan 40,PAN-2301-58,1,155.0,155.0
TXN-10274,2023-01-02,telma 40,TEL-2301-51,4,220.0,880.0
TXN-10280,2023-01-02,telma 40,TEL-2301-51,4,220.0,880.0
TXN-10551,2023-01-03,allegra 120,ALL-2301-41,8,198.0,1584.0
TXN-10542,2023-01-03,allegra 120,ALL-2302-47,5,198.0,990.0
TXN-10554,2023-01-03,azithral 500,AZI-2301-67,5,118.5,592.5
TXN-10553,2023-01-03,glycomet 500,GLY-2301-17,1,22.5,22.5
TXN-10552,2023-01-03,pan 40,PAN-2302-32,1,155.0,155.0
TXN-10550,2023-01-03,azithral 500,AZI-2302-52,5,118.5,592.5
TXN-10541,2023-01-03,glycomet 500,GLY-2302-38,2,22.5,45.0
TXN-10548,2023-01-03,telma 40,TEL-2301-73,4,220.0,880.0
TXN-10543,2023-01-03,glycomet 500,GLY-2302-38,4,22.5,90.0
TXN-10544,2023-01-03,glycomet 500,GLY-2302-38,1,22.5,22.5
TXN-10545,2023-01-03,azithral 500,AZI-2301-61,4,118.5,474.0
TXN-10546,2023-01-03,azithral 500,AZI-2301-61,4,118.5,474.0
TXN-10547,2023-01-03,allegra 120,ALL-2301-89,8,198.0,1584.0
TXN-10549,2023-01-03,azithral 500,AZI-2301-28,3,118.5,355.5
TXN-10874,2023-01-04,allegra 120,ALL-2303-90,5,198.0,990.0
TXN-10873,2023-01-04,pan 40,PAN-2303-30,1,155.0,155.0
TXN-10872,2023-01-04,dolo 650,DOL-2303-46,3,30.0,90.0
TXN-10877,2023-01-04,telma 40,TEL-2303-20,3,220.0,660.0
TXN-10878,2023-01-04,allegra 120,ALL-2302-47,6,198.0,1188.0
TXN-10879,2023-01-04,pan 40,PAN-2302-32,3,155.0,465.0
TXN-10875,2023-01-04,glycomet 500,GLY-2303-82,5,22.5,112.5
TXN-10880,2023-01-04,pan 40,PAN-2303-30,1,-155.0,155.0
TXN-10882,2023-01-04,pan 40,PAN-2301-58,4,155.0,620.0
TXN-10881,2023-01-04,pan 40,PAN-2303-37,4,155.0,620.0
TXN-10876,2023-01-04,glycomet 500,GLY-2303-82,5,22.5,112.5
TXN-11183,2023-01-05,dolo 650,DOL-2304-73,3,30.0,90.0
TXN-11182,2023-01-05,glycomet 500,GLY-2304-26,1,22.5,22.5
TXN-11181,2023-01-05,azithral 500,AZI-2303-88,4,118.5,474.0
TXN-11180,2023-01-05,allegra 120,ALL-2304-77,4,198.0,792.0
TXN-11179,2023-01-05,dolo 650,DOL-2304-73,2,30.0,60.0
TXN-11178,2023-01-05,azithral 500,AZI-2303-88,2,118.5,237.0
TXN-11463,2023-01-06,allegra 120,ALL-2305-58,4,198.0,792.0
TXN-11464,2023-01-06,telma 40,TEL-2305-98,5,220.0,1100.0
TXN-11465,2023-01-06,dolo 650,DOL-2305-12,7,30.0,210.0
TXN-11466,2023-01-06,pan 40,PAN-2304-54,4,155.0,620.0
TXN-11467,2023-01-06,dolo 650,DOL-2305-12,8,30.0,240.0
TXN-11468,2023-01-06,telma 40,TEL-2305-49,3,220.0,660.0
TXN-11469,2023-01-06,allegra 120,ALL-2301-79,5,198.0,990.0
TXN-11458,2023-01-06,allegra 120,ALL-2304-77,4,198.0,792.0
TXN-11462,2023-01-06,dolo 650,DOL-2304-79,8,30.0,240.0
TXN-11459,2023-01-06,allegra 120,ALL-2305-35,4,198.0,792.0
TXN-11460,2023-01-06,allegra 120,ALL-2304-77,1,198.0,198.0
TXN-11461,2023-01-06,azithral 500,AZI-2305-84,5,118.5,592.5
TXN-11782,2023-01-07,pan 40,PAN-2306-73,2,155.0,310.0
TXN-11793,2023-01-07,azithral 500,AZI-2306-19,4,118.5,474.0
TXN-11792,2023-01-07,dolo 650,DOL-2301-95,8,30.0,240.0
TXN-11791,2023-01-07,allegra 120,ALL-2306-84,4,198.0,792.0
TXN-11790,2023-01-07,pan 40,PAN-2305-20,3,155.0,465.0
TXN-11789,2023-01-07,glycomet 500,GLY-2306-20,3,22.5,67.5
TXN-11788,2023-01-07,glycomet 500,GLY-2306-76,1,22.5,22.5
TXN-11787,2023-01-07,azithral 500,AZI-2306-19,5,118.5,592.5
TXN-11786,2023-01-07,allegra 120,ALL-2306-14,4,198.0,792.0
TXN-11785,2023-01-07,allegra 120,ALL-2305-58,1,198.0,198.0
TXN-11783,2023-01-07,dolo 650,DOL-2306-93,8,30.0,240.0
TXN-11781,2023-01-07,telma 40,TEL-2305-98,5,220.0,1100.0
TXN-11784,2023-01-07,azithral 500,AZI-2306-19,1,118.5,118.5
TXN-12099,2023-01-08,dolo 650,DOL-2307-98,7,30.0,210.0
TXN-12101,2023-01-08,allegra 120,ALL-2307-47,5,198.0,990.0
TXN-12102,2023-01-08,azithral 500,AZI-2307-51,2,118.5,237.0
TXN-12103,2023-01-08,dolo 650,DOL-2307-25,4,30.0,120.0
TXN-12104,2023-01-08,allegra 120,ALL-2301-79,3,198.0,594.0
TXN-12105,2023-01-08,glycomet 500,GLY-2306-20,1,22.5,22.5
TXN-12100,2023-01-08,pan 40,PAN-2307-94,3,155.0,465.0
TXN-12417,2023-01-09,pan 40,PAN-2308-52,3,155.0,465.0
TXN-12415,2023-01-09,pan 40,PAN-2308-70,2,155.0,310.0
TXN-12414,2023-01-09,pan 40,PAN-2308-52,1,155.0,155.0
TXN-12416,2023-01-09,telma 40,TEL-2307-62,5,220.0,1100.0
TXN-12418,2023-01-09,allegra 120,ALL-2301-79,1,198.0,198.0
TXN-12732,2023-01-10,dolo 650,DOL-2309-40,2,30.0,60.0
TXN-12731,2023-01-10,pan 40,PAN-2301-58,5,155.0,775.0
TXN-12730,2023-01-10,dolo 650,DOL-2309-37,4,30.0,120.0
TXN-12728,2023-01-10,dolo 650,DOL-2309-37,5,30.0,150.0
TXN-12727,2023-01-10,telma 40,TEL-2301-80,4,220.0,880.0
TXN-12725,2023-01-10,allegra 120,ALL-2309-44,3,198.0,594.0
